January;43.61290323;40.19354839;6.258064516
February;35.10714286;34.89285714;5.25
March;38.93548387;61.58064516;4.903225806
April;31.9;89.9;4.166666667
May;35.38709677;123.6451613;5.483870968
June;32.7;156;4.733333333
July;34.74193548;175.4516129;5.032258065
August;29.09677419;184.5483871;4.774193548
September;30.83333333;134;4.966666667
October;24.16129032;98.90322581;5.451612903
November;45.13333333;98.8;6.7
December;48.29032258;96.29032258;6.709677419
